molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL156630,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,1000000.0,inactive
CHEMBL155754,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,1000000.0,inactive
CHEMBL350093,N#CCCN1CC(=O)OC(c2ccc(OCc3ccccc3)cc2)=N1,18.0,active
CHEMBL161907,O=c1c(=O)c2ccc(OCCCC(F)(F)F)cc2c1=O,9.0,active
CHEMBL17079,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=S,4.4,active
CHEMBL348083,CC(C)/N=C1/CCc2c1n(C)c1ccccc21,1000000.0,inactive
CHEMBL157182,C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,395000.0,inactive
CHEMBL160347,COc1cc(Br)c2oc(C3CCNCC3)cc2c1,23400.0,inactive
CHEMBL347197,CC/N=C1/CCc2c1n(C)c1ccccc21,77600.0,inactive
CHEMBL160219,CNC(=O)Oc1ccc2c(c1)c1c(n2C)/C(=N\CCc2ccccc2)CC1,1000000.0,inactive
CHEMBL445916,CCCn1c2c(c3c(Br)c(OC(=O)NC)ccc31)CC/C2=N/CC,1000000.0,inactive
CHEMBL158041,Cn1c2c(c3ccccc31)CC/C2=N/Cc1ccncc1,1000000.0,inactive
CHEMBL434261,N#CCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1,2.0,active
CHEMBL348607,CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1,175000.0,inactive
CHEMBL156919,CCC/N=C1/CCc2c1n(C)c1ccccc21,1000000.0,inactive
CHEMBL156931,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,1000000.0,inactive
CHEMBL17092,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=O,2.2,active
CHEMBL160836,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,1000000.0,inactive
CHEMBL16530,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=O,8.0,active
CHEMBL348961,Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O,0.014,active
CHEMBL156861,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,1000000.0,inactive
CHEMBL346766,C/N=C1/CCc2c1n(C)c1ccccc21,317000.0,inactive
CHEMBL16623,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=S,16.0,active
CHEMBL155350,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,1000000.0,inactive
CHEMBL155863,CCC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,1000000.0,inactive
CHEMBL414637,O=C1CCc2cc(OCCCC(F)(F)F)ccc21,0.318,active
CHEMBL341071,Cc1cc2c(nn1)-c1ccccc1C2=O,130.0,active
CHEMBL127983,O=C1c2ccccc2-c2nnc(-c3ccc(C(F)(F)F)cc3)cc21,90.0,active
CHEMBL158946,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,51000.0,inactive
CHEMBL350464,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,1000000.0,inactive
CHEMBL161896,COCC(COc1ccc(OCc2cccc(C(F)(F)F)c2)cc1C(C)=O)C(=O)OC,20.0,active
CHEMBL304241,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(C)c1,19000.0,inactive
CHEMBL62743,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(C)cc1,42000.0,inactive
CHEMBL65252,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)c(OC)c1,20000.0,inactive
CHEMBL293004,COc1ccccc1C1CC(c2ccc(O)cc2)=NN1C(C)=O,100000.0,inactive
CHEMBL63223,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl,89000.0,inactive
CHEMBL66639,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(Cl)cc1,40000.0,inactive
CHEMBL418480,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(Cl)cc1,120000.0,inactive
CHEMBL291647,COc1ccc(C2CC(c3ccc(O)cc3O)=NN2C(C)=O)cc1,83000.0,inactive
CHEMBL303594,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(Cl)c1,25000.0,inactive
CHEMBL294811,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(C)cc1,30000.0,inactive
CHEMBL65761,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)cc1,7200.0,intermediate
CHEMBL303112,COc1ccccc1C1CC(c2ccc(O)cc2O)=NN1C(C)=O,130000.0,inactive
CHEMBL299655,NNC(=O)C1(c2ccccc2)CC1F,20.0,active
CHEMBL903,NNC(N)=O,6.7,active
CHEMBL2094028,Cl.NC[C@H]1C[C@]1(F)c1ccccc1,1240.0,intermediate
CHEMBL542118,Cl.NC1CC1c1ccccc1,33.0,active
CHEMBL500093,Cl.NCC1CC1c1ccccc1,33.0,active
CHEMBL51601,NCC1(c2ccccc2)CC1F,660.0,active
CHEMBL2094026,Cl.NCC[C@H]1C[C@]1(F)c1ccccc1,490.0,active
CHEMBL2094027,Cl.N[C@H]1C[C@]1(F)c1ccccc1,3.6,active
CHEMBL51601,NCC1(c2ccccc2)CC1F,12.0,active
